2026-04-24 17:22:21 | INFO    | 02_preprocess | Loading prepared parquet: D:\Work\Geria_projects\IDS\implementation\code\data\processed\prepared.parquet
2026-04-24 17:22:21 | INFO    | 02_preprocess | Loaded 446632 rows, 79 columns
2026-04-24 17:22:22 | INFO    | 02_preprocess | Feature space: 77 columns
2026-04-24 17:22:23 | INFO    | 02_preprocess | Split sizes: train=312641 val=44664 test=89327
2026-04-24 17:22:23 | INFO    | 02_preprocess | Fitting feature pipeline (312641 rows, 77 input features, RFE keeps 30, PCA var 0.95)
2026-04-24 17:46:28 | INFO    | 02_preprocess | RFE retained 30 features
2026-04-24 17:46:28 | INFO    | 02_preprocess | PCA produced 11 components (var retained: 0.9612)
2026-04-24 17:46:29 | INFO    | 02_preprocess | Transformed shapes: train (312641, 11), val (44664, 11), test (89327, 11)
2026-04-24 17:46:30 | INFO    | 02_preprocess | Wrote splits: D:\Work\Geria_projects\IDS\implementation\code\data\processed\splits.npz
2026-04-24 17:46:30 | INFO    | 02_preprocess | Wrote feature pipeline artifact
2026-04-24 17:46:30 | INFO    | 02_preprocess | Wrote feature_info.txt
