timestamp,src_ip,dst_ip,dst_port,proto,bytes_total,suricata_alert,suricata_signature,ml_proba,ml_decision,fused_decision,fusion_reason
2025-04-25T09:00:00.000999+0000,172.16.0.7,192.168.10.51,22,TCP,293.0,0,,0.051657,0,0,none
2025-04-25T09:00:00.000999+0000,192.168.10.23,8.8.8.8,80,TCP,585.0,0,,0.02326,0,0,none
2025-04-25T09:00:00.000999+0000,192.168.10.20,192.168.10.50,80,TCP,585.0,0,,0.02326,0,0,none
2025-04-25T09:00:00.000999+0000,192.168.10.28,8.8.8.8,80,TCP,585.0,0,,0.02326,0,0,none
2025-04-25T09:00:00.000999+0000,192.168.10.26,142.250.190.78,80,TCP,585.0,0,,0.02326,0,0,none
2025-04-25T09:00:00.000999+0000,192.168.10.28,8.8.8.8,80,TCP,585.0,0,,0.02326,0,0,none
2025-04-25T09:00:00.000999+0000,192.168.10.32,8.8.8.8,80,TCP,585.0,0,,0.02326,0,0,none
2025-04-25T09:00:00.000999+0000,172.16.0.9,192.168.10.50,80,TCP,516.0,1,LOCAL HTTP POST to login endpoint,0.036246,0,1,suricata
2025-04-25T09:00:00.000999+0000,172.16.0.7,192.168.10.51,22,TCP,293.0,0,,0.051657,0,0,none
2025-04-25T09:00:00.000999+0000,192.168.10.32,192.168.10.51,22,TCP,598.0,0,,0.041527,0,0,none
2025-04-25T09:00:00.000999+0000,172.16.0.7,192.168.10.51,22,TCP,293.0,0,,0.051657,0,0,none
2025-04-25T09:00:00.000999+0000,172.16.0.7,192.168.10.51,22,TCP,293.0,0,,0.051657,0,0,none
2025-04-25T09:00:00.000999+0000,192.168.10.34,142.250.190.78,80,TCP,585.0,0,,0.02326,0,0,none
2025-04-25T09:00:00.000999+0000,192.168.10.22,192.168.10.50,80,TCP,585.0,0,,0.02326,0,0,none
2025-04-25T09:00:00.000999+0000,192.168.10.33,1.1.1.1,80,TCP,585.0,0,,0.02326,0,0,none
2025-04-25T09:00:00.000999+0000,192.168.10.24,142.250.190.78,80,TCP,585.0,0,,0.02326,0,0,none
2025-04-25T09:00:00.000999+0000,172.16.0.7,192.168.10.51,22,TCP,293.0,0,,0.051657,0,0,none
2025-04-25T09:00:00.000999+0000,172.16.0.9,192.168.10.50,80,TCP,516.0,1,LOCAL HTTP POST to login endpoint,0.036246,0,1,suricata
2025-04-25T09:00:00.000999+0000,172.16.0.9,192.168.10.50,80,TCP,515.0,1,LOCAL HTTP POST to login endpoint,0.036246,0,1,suricata
2025-04-25T09:00:00.000999+0000,192.168.10.30,192.168.10.51,22,TCP,598.0,1,LOCAL SSH connection attempt,0.041527,0,1,suricata
2025-04-25T09:00:00.000999+0000,172.16.0.7,192.168.10.51,22,TCP,293.0,0,,0.051657,0,0,none
2025-04-25T09:00:00.000999+0000,192.168.10.24,192.168.10.50,80,TCP,585.0,0,,0.02326,0,0,none
2025-04-25T09:00:00.000999+0000,172.16.0.7,192.168.10.51,22,TCP,293.0,0,,0.051657,0,0,none
2025-04-25T09:00:00.000999+0000,172.16.0.9,192.168.10.50,80,TCP,515.0,1,LOCAL HTTP POST to login endpoint,0.036246,0,1,suricata
2025-04-25T09:00:00.000999+0000,172.16.0.9,192.168.10.50,80,TCP,516.0,1,LOCAL HTTP POST to login endpoint,0.036246,0,1,suricata
2025-04-25T09:00:00.000999+0000,192.168.10.34,192.168.10.51,22,TCP,598.0,0,,0.041527,0,0,none
2025-04-25T09:00:00.000999+0000,172.16.0.9,192.168.10.50,80,TCP,516.0,1,LOCAL HTTP POST to login endpoint,0.036246,0,1,suricata
2025-04-25T09:00:00.000999+0000,192.168.10.30,192.168.10.50,80,TCP,585.0,0,,0.02326,0,0,none
2025-04-25T09:00:00.000999+0000,192.168.10.31,151.101.1.69,80,TCP,585.0,0,,0.02326,0,0,none
2025-04-25T09:00:00.000999+0000,192.168.10.23,142.250.190.78,80,TCP,585.0,0,,0.02326,0,0,none
2025-04-25T09:00:00.000999+0000,172.16.0.9,192.168.10.50,80,TCP,516.0,1,LOCAL HTTP POST to login endpoint,0.036246,0,1,suricata
2025-04-25T09:00:00.000999+0000,192.168.10.22,142.250.190.78,80,TCP,585.0,0,,0.02326,0,0,none
2025-04-25T09:00:00.000999+0000,192.168.10.26,192.168.10.50,80,TCP,585.0,0,,0.02326,0,0,none
2025-04-25T09:00:00.000999+0000,172.16.0.7,192.168.10.51,22,TCP,293.0,0,,0.051657,0,0,none
2025-04-25T09:00:00.000999+0000,172.16.0.7,192.168.10.51,22,TCP,293.0,0,,0.051657,0,0,none
2025-04-25T09:00:00.000999+0000,172.16.0.9,192.168.10.50,80,TCP,516.0,1,LOCAL HTTP POST to login endpoint,0.036246,0,1,suricata
2025-04-25T09:00:00.000999+0000,192.168.10.28,142.250.190.78,80,TCP,585.0,0,,0.02326,0,0,none
2025-04-25T09:00:00.000999+0000,172.16.0.9,192.168.10.50,80,TCP,516.0,1,LOCAL HTTP POST to login endpoint,0.036246,0,1,suricata
2025-04-25T09:00:00.000999+0000,192.168.10.21,1.1.1.1,80,TCP,585.0,0,,0.02326,0,0,none
2025-04-25T09:00:00.000999+0000,172.16.0.7,192.168.10.51,22,TCP,293.0,0,,0.051657,0,0,none
2025-04-25T09:00:00.000999+0000,172.16.0.7,192.168.10.51,22,TCP,293.0,0,,0.051657,0,0,none
2025-04-25T09:00:00.000999+0000,172.16.0.7,192.168.10.51,22,TCP,293.0,0,,0.051657,0,0,none
2025-04-25T09:00:00.000999+0000,192.168.10.23,192.168.10.50,80,TCP,585.0,0,,0.02326,0,0,none
2025-04-25T09:00:00.000999+0000,192.168.10.34,8.8.8.8,80,TCP,585.0,0,,0.02326,0,0,none
2025-04-25T09:00:00.000999+0000,172.16.0.7,192.168.10.51,22,TCP,293.0,0,,0.051657,0,0,none
2025-04-25T09:00:00.000999+0000,172.16.0.7,192.168.10.51,22,TCP,293.0,0,,0.051657,0,0,none
2025-04-25T09:00:00.000999+0000,192.168.10.24,142.250.190.78,80,TCP,585.0,0,,0.02326,0,0,none
2025-04-25T09:00:00.000999+0000,172.16.0.7,192.168.10.51,22,TCP,293.0,0,,0.051657,0,0,none
2025-04-25T09:00:00.000999+0000,192.168.10.22,142.250.190.78,80,TCP,585.0,0,,0.02326,0,0,none
2025-04-25T09:00:00.000999+0000,192.168.10.20,142.250.190.78,80,TCP,585.0,0,,0.02326,0,0,none
2025-04-25T09:00:00.000999+0000,192.168.10.28,8.8.8.8,80,TCP,585.0,0,,0.02326,0,0,none
